"2010 total population from age groups, from Ward Profiles – Census_2011.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Total population,61315,56725,52230,54640,64015,58995,52085,50340,46040,64830,62385,54005,53270,53765,62050,53985,50510,44970,57240,76600,48640,65515,88435,62355,58315,64910,78670,66585,44935,53290,53570,57365,57150,59430,62445,54115,64345,66830,54975,62030,68145,77675,55130,60240
